"","County","Province_State","FIPS","Country_Region","Lat","Long_","Combined_Key","Last_Update.x","Confirmed.x","Deaths.x","Recovered.x","Active.x","Incidence_Rate.x","Case.Fatality_Ratio.x","Last_Update.y","Confirmed.y","Deaths.y","Recovered.y","Active.y","Incidence_Rate.y","Case.Fatality_Ratio.y","NEVER","RARELY","SOMETIMES","FREQUENTLY","ALWAYS","GDP 2018","Population_Count_2019","Percent.of.adults.with.less.than.a.high.school.diploma..2014.18","Percent.of.adults.with.a.high.school.diploma.only..2014.18","Percent.of.adults.completing.some.college.or.associate.s.degree..2014.18","Percent.of.adults.with.a.bachelor.s.degree.or.higher..2014.18","Median_Age"
"25","Bannock","Idaho",16005,"US",42.67002716,-112.2233311,"Bannock, Idaho, US","2020-06-16 04:33:09",63,1,0,62,71.7474489795918,1.58730158730159,"2020-07-20 05:34:40",189,1,0,188,215.242346938775,0.529100529100529,0.084,0.193,0.176,0.195,0.352,2745368,86674,8.1,26.5,38.2,27.2,34.5
"26","Barnstable","Massachusetts",25001,"US",41.72980578,-70.28854339,"Barnstable, Massachusetts, US","2020-06-16 04:33:09",1489,130,0,1359,699.093854171557,8.73069173942243,"2020-07-20 05:34:40",1622,154,0,1468,761.5381003803,9.4944512946979,0.019,0.007,0.026,0.109,0.839,12459842,213471,4.5,24.3,28.4,42.8,54.1
"27","Barrow","Georgia",13013,"US",33.99148694,-83.71436292,"Barrow, Georgia, US","2020-06-16 04:33:09",388,23,0,365,466.122056703508,5.92783505154639,"2020-07-20 05:34:40",760,30,0,730,913.022585295531,3.94736842105263,0.063,0.086,0.092,0.19,0.568,1884951,80834,17,34.4,31.1,17.6,37.1
"28","Bartholomew","Indiana",18005,"US",39.20744865,-85.89558181,"Bartholomew, Indiana, US","2020-06-16 04:33:09",554,41,0,513,661.263562467922,7.40072202166065,"2020-07-20 05:34:40",635,45,0,590,757.946502106733,7.08661417322835,0.138,0.084,0.085,0.286,0.406,6363058,82722,9.1,32.6,26,32.3,38
"29","Bartow","Georgia",13015,"US",34.23732119,-84.83887523,"Bartow, Georgia, US","2020-06-16 04:33:09",548,39,0,509,508.641333605599,7.11678832116788,"2020-07-20 05:34:40",1138,46,0,1092,1056.26612708608,4.04217926186292,0.215,0.05,0.123,0.143,0.47,4495356,106378,17,33,30.6,19.5,38
"30","Bastrop","Texas",48021,"US",30.10370699,-97.31206354,"Bastrop, Texas, US","2020-06-16 04:33:09",295,4,0,291,332.495519763759,1.35593220338983,"2020-07-20 05:34:40",1001,12,0,989,1128.23056028313,1.1988011988012,0.007,0.02,0.084,0.161,0.729,1881339,86595,19,29.4,31.3,20.4,36.9
"31","Bay","Florida",12005,"US",30.26548745,-85.62122584,"Bay, Florida, US","2020-06-16 04:33:09",153,4,0,149,87.5761998797974,2.61437908496732,"2020-07-20 05:34:40",2000,9,0,1991,1144.7869265333,0.45,0.065,0.109,0.076,0.202,0.548,7606775,186240,9.7,31.4,36.1,22.8,41.4
"32","Bay","Michigan",26017,"US",43.70639106,-83.98731479,"Bay, Michigan, US","2020-06-16 04:33:09",378,29,0,349,366.541900199756,7.67195767195767,"2020-07-20 05:34:40",478,31,0,447,463.510656866358,6.48535564853557,0.014,0.055,0.103,0.202,0.627,3481282,103702,10.4,34.7,36,18.9,44.1
"33","Beaver","Pennsylvania",42007,"US",40.6825484,-80.34921611,"Beaver, Pennsylvania, US","2020-06-16 04:33:09",613,77,0,536,373.942377492695,12.5611745513866,"2020-07-20 05:34:40",958,81,0,877,584.399343618274,8.45511482254697,0.015,0.023,0.1,0.137,0.725,7129597,164582,6.9,38.2,31.2,23.7,45.3
"34","Bedford","Virginia",51019,"US",37.3080028,-79.5281964,"Bedford, Virginia, US","2020-06-16 04:33:09",91,2,0,89,115.194247882831,2.1978021978022,"2020-07-20 05:34:40",181,4,0,177,229.122624909807,2.20994475138122,0.052,0.09,0.115,0.248,0.495,1864725,78882,10.2,31.3,29.6,28.9,46.2
"35","Bell","Texas",48027,"US",31.03736027,-97.4785025,"Bell, Texas, US","2020-06-16 04:33:09",629,6,0,623,173.314523150853,0.95389507154213,"2020-07-20 05:34:40",2640,17,0,2623,727.4250256252,0.643939393939394,0.01,0.035,0.078,0.205,0.672,14886755,355397,9.4,25.9,40.1,24.5,31.5
"36","Belmont","Ohio",39013,"US",40.01625942,-80.9924051,"Belmont, Ohio, US","2020-06-16 04:33:09",469,20,0,449,699.937319046056,4.26439232409382,"2020-07-20 05:34:40",575,25,0,550,858.132107572456,4.34782608695652,0.082,0.086,0.118,0.25,0.464,6153399,67533,9.6,42.7,31.5,16.2,43.7
"37","Benton","Arkansas",5007,"US",36.33644656,-94.25680817,"Benton, Arkansas, US","2020-06-16 04:33:09",1480,8,0,1472,530.198000293758,0.540540540540541,"2020-07-20 05:34:40",3832,25,0,3807,1372.78293049033,0.652400835073069,0.081,0.034,0.083,0.16,0.643,13245065,272266,11.9,29.1,26.5,32.4,35.7
"38","Benton","Oregon",41003,"US",44.49167306,-123.4316987,"Benton, Oregon, US","2020-06-16 04:33:09",63,5,0,58,67.7033518532449,7.93650793650794,"2020-07-20 05:34:40",128,6,0,122,137.556016463736,4.6875,0.007,0.007,0.059,0.156,0.77,4705402,92442,4.6,13.9,27.9,53.6,34.4
"39","Benton","Washington",53005,"US",46.23946995,-119.5120834,"Benton, Washington, US","2020-06-16 04:33:09",1171,73,0,1098,572.924311365527,6.23398804440649,"2020-07-20 05:34:40",2840,99,0,2741,1389.50046479769,3.48591549295775,0.084,0.011,0.064,0.08,0.761,10378129,201286,9.9,24.3,35.9,30,36.1
"40","Berks","Pennsylvania",42011,"US",40.41570541,-75.92457766,"Berks, Pennsylvania, US","2020-06-16 04:33:09",4324,338,0,3986,1026.67844355168,7.8168362627197,"2020-07-20 05:34:40",4821,360,0,4461,1144.68473088868,7.4673304293715,0.036,0.012,0.06,0.174,0.719,18443415,420529,13.5,37.2,24.7,24.5,39.9
"41","Berkshire","Massachusetts",25003,"US",42.37428441,-73.20524838,"Berkshire, Massachusetts, US","2020-06-16 04:33:09",579,42,0,537,463.40760660776,7.25388601036269,"2020-07-20 05:34:40",623,45,0,578,498.623383275707,7.223113964687,0.03,0.004,0.049,0.082,0.834,6659360,125901,8.9,29.9,27.9,33.4,47.7
