TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN AGE OF THE TOTAL POPULATION,,,,
R0101,040A0US50,Vermont -- In metropolitan or micropolitan statistical area,1,42.0,+/-0.4
R0101,040A0US51,Virginia -- In metropolitan or micropolitan statistical area,1,37.9,+/-0.2
R0101,040A0US53,Washington -- In metropolitan or micropolitan statistical area,1,37.6,+/-0.2
R0101,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,1,42.3,+/-0.3
R0101,040A0US55,Wisconsin -- In metropolitan or micropolitan statistical area,1,39.0,+/-0.1
R0101,040A0US56,Wyoming -- In metropolitan or micropolitan statistical area,1,36.9,+/-0.6
R0101,040A0US72,Puerto Rico -- In metropolitan or micropolitan statistical area,1,43.1,+/-0.2
R0101,040C0US01,Alabama -- In metropolitan statistical area,1,38.9,+/-0.2
R0101,040C0US02,Alaska -- In metropolitan statistical area,1,34.2,+/-0.4
R0101,040C0US04,Arizona -- In metropolitan statistical area,1,38.2,+/-0.1
R0101,040C0US05,Arkansas -- In metropolitan statistical area,1,37.2,+/-0.2
R0101,040C0US06,California -- In metropolitan statistical area,1,36.9,+/-0.1
R0101,040C0US08,Colorado -- In metropolitan statistical area,1,36.5,+/-0.3
R0101,040C0US09,Connecticut -- In metropolitan statistical area,1,40.9,+/-0.2
R0101,040C0US10,Delaware -- In metropolitan statistical area,1,41.4,+/-0.3
R0101,040C0US11,District of Columbia -- In metropolitan statistical area,1,34.3,+/-0.2
R0101,040C0US12,Florida -- In metropolitan statistical area,1,42.4,+/-0.1
R0101,040C0US13,Georgia -- In metropolitan statistical area,1,36.7,+/-0.2
R0101,040C0US15,Hawaii -- In metropolitan statistical area,1,38.8,+/-0.3
R0101,040C0US16,Idaho -- In metropolitan statistical area,1,36.8,+/-0.2
R0101,040C0US17,Illinois -- In metropolitan statistical area,1,38.1,+/-0.2
R0101,040C0US18,Indiana -- In metropolitan statistical area,1,37.3,+/-0.2
R0101,040C0US19,Iowa -- In metropolitan statistical area,1,36.5,+/-0.2
R0101,040C0US20,Kansas -- In metropolitan statistical area,1,36.4,+/-0.2
R0101,040C0US21,Kentucky -- In metropolitan statistical area,1,38.0,+/-0.2
R0101,040C0US22,Louisiana -- In metropolitan statistical area,1,37.6,+/-0.2
R0101,040C0US23,Maine -- In metropolitan statistical area,1,43.4,+/-0.3
R0101,040C0US24,Maryland -- In metropolitan statistical area,1,38.9,+/-0.1
R0101,040C0US25,Massachusetts -- In metropolitan statistical area,1,39.7,+/-0.2
R0101,040C0US26,Michigan -- In metropolitan statistical area,1,39.0,+/-0.2
R0101,040C0US27,Minnesota -- In metropolitan statistical area,1,37.5,+/-0.2
R0101,040C0US28,Mississippi -- In metropolitan statistical area,1,37.6,+/-0.4
R0101,040C0US29,Missouri -- In metropolitan statistical area,1,38.4,+/-0.1
R0101,040C0US30,Montana -- In metropolitan statistical area,1,38.6,+/-0.5
R0101,040C0US31,Nebraska -- In metropolitan statistical area,1,35.2,+/-0.2
R0101,040C0US32,Nevada -- In metropolitan statistical area,1,37.9,+/-0.2
R0101,040C0US33,New Hampshire -- In metropolitan statistical area,1,41.7,+/-0.2
R0101,040C0US34,New Jersey -- In metropolitan statistical area,1,40.2,+/-0.1
R0101,040C0US35,New Mexico -- In metropolitan statistical area,1,38.6,+/-0.3
R0101,040C0US36,New York -- In metropolitan statistical area,1,39.0,+/-0.1
R0101,040C0US37,North Carolina -- In metropolitan statistical area,1,38.2,+/-0.2
R0101,040C0US38,North Dakota -- In metropolitan statistical area,1,34.1,+/-0.5
R0101,040C0US39,Ohio -- In metropolitan statistical area,1,39.2,+/-0.1
R0101,040C0US40,Oklahoma -- In metropolitan statistical area,1,36.2,+/-0.1
R0101,040C0US41,Oregon -- In metropolitan statistical area,1,38.9,+/-0.2
R0101,040C0US42,Pennsylvania -- In metropolitan statistical area,1,40.4,+/-0.1
R0101,040C0US44,Rhode Island -- In metropolitan statistical area,1,40.1,+/-0.4
R0101,040C0US45,South Carolina -- In metropolitan statistical area,1,39.4,+/-0.2
R0101,040C0US46,South Dakota -- In metropolitan statistical area,1,37.6,+/-0.4
R0101,040C0US47,Tennessee -- In metropolitan statistical area,1,38.1,+/-0.2
R0101,040C0US48,Texas -- In metropolitan statistical area,1,34.7,+/-0.1
R0101,040C0US49,Utah -- In metropolitan statistical area,1,30.9,+/-0.1
R0101,040C0US50,Vermont -- In metropolitan statistical area,1,38.3,+/-0.6
R0101,040C0US51,Virginia -- In metropolitan statistical area,1,37.7,+/-0.1
R0101,040C0US53,Washington -- In metropolitan statistical area,1,37.5,+/-0.1
R0101,040C0US54,West Virginia -- In metropolitan statistical area,1,41.8,+/-0.4
R0101,040C0US55,Wisconsin -- In metropolitan statistical area,1,38.5,+/-0.2
R0101,040C0US56,Wyoming -- In metropolitan statistical area,1,38.0,+/-0.9
R0101,040C0US72,Puerto Rico -- In metropolitan statistical area,1,43.1,+/-0.2
R0101,040C1US01,Alabama -- In metropolitan statistical area -- in principal city,1,36.9,+/-0.6
R0101,040C1US02,Alaska -- In metropolitan statistical area -- in principal city,1,33.7,+/-0.5
R0101,040C1US04,Arizona -- In metropolitan statistical area -- in principal city,1,35.6,+/-0.3
R0101,040C1US05,Arkansas -- In metropolitan statistical area -- in principal city,1,34.2,+/-0.5
R0101,040C1US06,California -- In metropolitan statistical area -- in principal city,1,36.1,+/-0.2
