,2015,2016,2017,2018
Clark,"1,199,230","1,202,730","1,216,726","1,245,254"
Clay,"330,305","332,107","331,892","328,743"
Clinton,"267,365","253,142","261,517","270,001"
Crittenden,"195,957","196,673","192,069","191,802"
Cumberland,"144,331","142,886","147,966","158,340"
Daviess,"4,009,903","3,942,353","3,999,442","4,067,175"
Edmonson,"140,862","144,948","143,980","144,647"
Elliott,"69,935","70,494","72,313","71,457"
Estill,"196,706","191,779","192,273","189,800"
Fayette,"18,688,907","19,071,470","19,038,234","19,202,370"
Fleming,"273,588","262,228","265,919","271,775"
Floyd,"1,057,043","1,043,654","1,078,687","1,056,986"
Franklin,"3,130,442","3,214,004","3,139,636","3,228,327"
Fulton,"214,841","200,953","202,473","195,791"
Gallatin,"375,762","387,483","358,545","357,027"
Garrard,"212,057","201,843","199,394","204,461"
Grant,"452,276","470,195","470,354","469,275"
Graves,"1,119,325","1,116,481","1,187,750","1,174,116"
Grayson,"642,063","642,590","668,725","662,447"
Green,"153,699","143,527","155,480","150,893"
Greenup,"730,103","706,302","704,707","724,722"
Hancock,"914,973","942,511","833,590","824,556"
Hardin,"4,575,889","4,595,481","4,723,036","4,763,191"
Harlan,"608,935","574,442","569,723","568,852"
Harrison,"437,267","458,049","447,737","455,479"
Hart,"482,173","481,915","493,184","500,613"
Henderson,"1,947,046","1,983,475","1,927,128","1,917,354"
Henry,"364,746","366,756","358,080","365,170"
Hickman,"204,456","211,743","213,077","218,142"
Hopkins,"1,685,754","1,609,850","1,588,555","1,525,769"
Jackson,"161,745","160,644","153,462","155,025"
Jefferson,"47,191,298","48,115,832","48,991,855","49,831,577"
Jessamine,"1,410,397","1,431,319","1,482,306","1,503,480"
Johnson,"419,585","406,733","408,723","403,777"
Kenton,"6,366,621","6,611,468","6,611,565","6,947,960"
Knott,"274,983","223,316","209,899","210,393"
Knox,"588,773","583,276","584,762","577,658"
Larue,"196,042","201,321","195,117","194,582"
Laurel,"1,859,409","1,909,331","1,960,167","1,990,777"
Lawrence,"411,751","308,179","302,934","315,702"
Lee,"131,378","129,564","125,759","133,468"
Leslie,"170,826","161,986","160,905","160,409"
Letcher,"404,839","356,917","347,871","363,118"
Lewis,"177,167","168,741","168,300","168,650"
Lincoln,"382,469","395,092","394,834","393,493"
Livingston,"299,715","287,657","294,497","279,110"
Logan,"1,227,146","1,235,117","1,209,259","1,193,555"
Lyon,"173,248","179,267","195,522","189,106"
McCracken,"3,700,034","3,742,652","3,622,083","3,679,761"
McCreary,"221,557","222,330","225,736","225,837"
McLean,"286,556","298,483","318,820","331,604"
Madison,"2,575,607","2,581,961","2,583,441","2,634,589"
Magoffin,"153,543","140,825","134,596","139,446"
Marion,"664,483","673,604","685,475","710,662"
Marshall,"1,134,531","1,131,830","1,148,245","1,154,718"
Martin,"366,207","355,841","325,430","305,534"
Mason,"907,580","991,158","935,037","972,077"
Meade,"442,904","447,045","430,697","435,899"
Menifee,"76,532","76,260","77,323","78,518"
Mercer,"912,096","965,305","899,479","923,901"
Metcalfe,"179,173","173,301","185,724","186,698"
Monroe,"275,501","278,600","284,461","287,913"
Montgomery,"903,218","891,325","891,219","894,854"
Morgan,"220,998","232,272","236,300","236,315"
Muhlenberg,"1,504,308","1,311,811","1,228,479","1,258,930"
Nelson,"1,493,343","1,485,673","1,529,638","1,586,803"
Nicholas,"80,927","80,076","77,447","77,822"
Ohio,"883,878","826,263","842,955","848,711"
Oldham,"1,359,293","1,427,548","1,489,256","1,512,023"
Owen,"182,661","187,209","177,875","168,567"
Owsley,"51,530","51,987","51,191","51,822"
Pendleton,"251,302","243,906","250,174","246,250"
Perry,"1,105,110","966,630","979,952","960,216"
Pike,"2,695,598","2,683,994","2,736,164","2,703,199"
Powell,"198,788","197,116","196,627","197,292"
Pulaski,"1,960,052","1,988,824","2,003,173","2,051,058"
Robertson,"24,690","26,076","25,335","25,531"
Rockcastle,"245,515","253,829","262,700","266,553"
Rowan,"646,782","658,578","655,209","662,311"
Russell,"519,194","509,599","534,487","558,876"
Scott,"2,243,664","2,338,983","2,397,714","2,422,975"
Shelby,"1,358,955","1,376,677","1,400,602","1,422,182"
Simpson,"808,846","847,797","856,593","850,415"
Spencer,"184,304","194,128","195,094","193,530"
Taylor,"786,395","802,636","824,931","796,470"
Todd,"327,143","317,705","320,630","340,291"
Trigg,"294,848","276,512","276,395","271,023"
Trimble,"431,601","435,941","448,918","447,742"
Union,"667,814","626,698","620,104","593,494"
Warren,"5,165,512","5,272,878","5,341,287","5,423,938"
Washington,"295,355","288,403","293,354","294,722"
Wayne,"361,024","361,242","360,236","363,684"
Webster,"657,131","592,060","585,389","590,257"
Whitley,"1,552,774","1,625,077","1,634,463","1,632,913"
Wolfe,"93,035","95,075","92,978","92,991"
Woodford,"966,450","979,105","992,683","1,000,732"
,,,,
Louisiana,"232,457,557","228,252,533","231,373,058","237,372,168"
Acadia,"1,596,865","1,593,043","1,593,431","1,603,705"
Allen,"591,149","615,584","629,176","630,538"
Ascension,"8,200,541","7,922,252","8,313,793","8,603,284"
Assumption,"439,467","406,603","438,719","453,858"
Avoyelles,"828,797","833,993","854,404","848,022"
Beauregard,"916,684","908,107","902,247","921,931"
Bienville,"614,943","613,315","705,618","744,493"
Bossier,"5,515,885","5,437,417","5,592,987","5,812,033"
Caddo,"12,924,987","12,866,194","13,077,685","13,294,109"
Calcasieu,"12,688,677","13,176,048","13,878,425","14,399,795"
Caldwell,"180,711","180,706","177,456","179,444"
Cameron,"1,299,342","1,755,741","1,974,504","1,907,462"
Catahoula,"197,962","202,002","219,910","194,824"
Claiborne,"541,167","498,480","517,085","517,129"
Concordia,"514,516","553,930","550,827","571,467"
De Soto,"2,927,784","3,024,224","3,704,041","3,779,059"
East Baton Rouge,"31,635,259","31,335,354","31,114,864","32,817,001"
East Carroll,"175,695","201,446","204,591","187,385"
East Feliciana,"415,855","409,005","425,595","442,954"
Evangeline,"879,623","876,533","870,261","870,132"
Franklin,"427,764","424,804","430,950","495,366"
Grant,"329,792","338,160","338,343","337,955"
Iberia,"3,588,693","3,190,657","3,105,170","3,117,265"
Iberville,"1,846,625","1,920,906","2,066,737","2,056,001"
Jackson,"487,363","443,072","448,281","443,556"
Jefferson,"21,357,371","21,270,881","21,341,754","21,754,436"
Jefferson Davis,"908,047","922,418","916,309","913,264"
Lafayette,"14,161,299","13,074,227","13,144,874","13,515,417"
Lafourche,"4,333,557","3,828,674","3,821,091","3,978,516"
LaSalle,"455,339","445,973","447,162","462,138"
Lincoln,"1,880,249","1,909,955","1,945,577","1,914,163"
Livingston,"2,354,447","2,211,461","2,296,680","2,346,977"
Madison,"434,753","446,811","443,243","449,912"
Morehouse,"633,534","683,754","622,742","597,005"
Natchitoches,"1,282,694","1,273,527","1,369,322","1,385,024"
Orleans,"22,624,821","22,652,481","22,640,166","23,196,847"
Ouachita,"6,891,832","7,164,425","7,194,183","7,285,480"
Plaquemines,"3,903,701","3,491,159","3,307,851","3,444,860"
Pointe Coupee,"784,561","754,677","763,454","708,965"
Rapides,"5,140,272","5,244,230","5,259,797","5,322,092"
Red River,"804,981","821,791","1,094,053","1,271,107"
Richland,"493,663","513,581","501,145","501,952"
Sabine,"711,516","663,004","710,769","789,765"
St. Bernard,"1,341,730","1,369,282","1,325,830","1,317,707"
St. Charles,"9,415,697","8,566,834","9,235,840","9,662,139"
St. Helena,"146,015","143,046","137,847","141,576"
St. James,"3,091,041","2,644,422","3,019,784","3,133,283"
St. John the Baptist,"2,884,178","2,915,834","2,562,558","2,367,760"
St. Landry,"2,549,714","2,454,562","2,495,327","2,548,496"
St. Martin,"1,509,427","1,428,451","1,397,653","1,415,755"
St. Mary,"2,807,526","2,511,389","2,410,106","2,479,914"
St. Tammany,"8,743,155","8,851,818","8,897,905","9,056,766"
Tangipahoa,"3,687,749","3,708,532","3,863,443","3,894,065"
Tensas,"115,444","133,792","132,184","122,324"
Terrebonne,"6,244,249","5,639,720","5,381,059","5,535,908"
Union,"632,819","580,206","588,380","624,213"
Vermilion,"1,831,775","1,689,785","1,728,755","1,732,086"
Vernon,"1,899,629","1,851,785","1,850,151","1,847,621"
Washington,"1,116,134","1,122,870","1,084,091","1,090,184"
Webster,"1,123,677","1,098,596","1,076,643","1,123,296"
West Baton Rouge,"3,078,064","2,853,638","3,160,246","3,199,431"
West Carroll,"205,144","240,769","237,010","252,662"
West Feliciana,"778,722","778,961","814,343","806,915"
Winn,"439,101","431,826","440,342","439,900"
,,,,
Maine,"53,780,489","54,970,953","56,189,337","57,450,447"
Androscoggin,"4,076,246","4,124,051","4,147,966","4,266,879"
Aroostook,"2,221,966","2,302,821","2,326,967","2,357,454"
Cumberland,"17,697,798","18,239,598","18,928,099","19,382,624"
Franklin,"982,117","972,847","959,824","985,027"
Hancock,"2,141,685","2,143,713","2,124,723","2,197,937"
Kennebec,"4,785,659","4,881,037","4,968,318","5,025,676"
Knox,"1,483,391","1,520,106","1,533,423","1,555,505"
Lincoln,"973,621","991,563","995,145","1,030,391"
Oxford,"1,473,755","1,488,812","1,534,604","1,551,556"
Penobscot,"5,633,056","5,769,790","5,856,821","6,017,850"
Piscataquis,"493,508","495,156","513,749","534,476"
Sagadahoc,"1,406,671","1,432,812","1,444,197","1,442,267"
Somerset,"1,636,459","1,676,901","1,678,925","1,660,106"
Waldo,"947,534","960,808","987,905","994,584"
Washington,"1,072,106","1,066,832","1,043,460","1,026,010"
York,"6,758,274","6,908,370","7,149,557","7,424,554"
,,,,
Maryland,"345,230,212","356,817,594","360,030,127","368,860,199"
Allegany,"2,814,806","2,847,186","2,853,380","2,828,976"
Anne Arundel,"42,104,490","43,433,071","43,912,212","45,313,225"
Baltimore,"45,698,283","47,681,068","47,570,237","48,916,032"
Calvert,"4,180,425","4,512,446","4,703,874","4,127,614"
Caroline,"1,130,209","1,174,149","1,202,262","1,210,266"
Carroll,"5,522,837","5,672,663","5,768,914","5,805,798"
Cecil,"3,695,969","3,812,378","3,813,650","4,242,723"
Charles,"4,943,019","5,217,937","5,395,576","5,318,368"
Dorchester,"1,263,204","1,273,043","1,279,514","1,288,622"
Frederick,"11,761,902","12,069,333","12,184,210","12,479,134"
Garrett,"1,203,901","1,201,151","1,217,228","1,228,093"
Harford,"11,269,904","11,452,466","11,644,215","11,877,161"
Howard,"22,060,113","22,850,190","23,140,957","23,953,910"
Kent,"791,154","797,360","817,395","831,822"
Montgomery,"79,621,199","83,044,022","83,800,001","86,116,398"
Prince George's,"39,183,813","40,288,797","40,673,672","41,879,165"
Queen Anne's,"1,496,848","1,533,706","1,620,031","1,668,547"
St. Mary's,"6,285,462","6,408,602","6,402,262","6,611,288"
Somerset,"900,209","886,453","909,121","918,716"
Talbot,"1,975,109","1,936,586","1,941,443","1,983,724"
Washington,"6,682,471","6,888,801","6,876,083","7,053,214"
Wicomico,"4,622,249","4,751,176","4,848,087","4,915,684"
Worcester,"2,608,013","2,643,282","2,714,543","2,761,060"
Baltimore City,"43,432,082","44,465,683","44,769,894","45,594,014"
,,,,
Massachusetts,"471,135,269","478,961,042","490,839,833","506,072,766"
Barnstable,"11,980,440","12,058,261","12,192,071","12,459,842"
Berkshire,"6,539,113","6,577,320","6,563,795","6,659,360"
Bristol,"22,861,560","22,793,334","23,625,974","23,895,996"
Dukes,"1,660,210","1,678,037","1,718,947","1,769,760"
Essex,"40,326,051","41,005,451","42,167,576","43,173,489"
Franklin,"2,688,491","2,701,844","2,749,316","2,807,921"
Hampden,"20,409,531","20,442,640","20,680,926","20,997,698"
Hampshire,"6,540,484","6,599,855","6,751,489","6,838,493"
Middlesex,"144,056,910","146,813,885","150,948,251","157,384,459"
Nantucket,"1,673,678","1,695,910","1,722,140","1,791,518"
Norfolk,"49,028,135","49,343,248","49,807,121","51,010,895"
Plymouth,"22,538,066","22,708,016","23,329,700","23,842,961"
Suffolk,"102,340,696","105,533,781","108,741,572","112,691,074"
Worcester,"38,484,393","38,968,029","39,793,112","40,731,879"
,,,,
Michigan,"442,481,789","452,268,793","459,129,090","470,529,220"
Alcona,"207,680","215,680","228,716","234,458"
Alger,"252,524","249,362","248,816","257,950"
Allegan,"3,794,810","3,957,389","4,025,184","4,429,115"
Alpena,"984,917","973,702","1,002,334","1,013,753"
Antrim,"513,450","512,301","536,896","560,544"
Arenac,"375,044","384,314","397,930","409,206"
Baraga,"257,167","246,983","255,425","259,101"
Barry,"1,436,439","1,357,971","1,438,438","1,434,575"
Bay,"3,508,955","3,499,875","3,468,934","3,481,282"
Benzie,"361,287","372,819","375,422","388,078"
Berrien,"6,438,915","6,586,651","6,828,838","6,877,563"
Branch,"1,184,087","1,245,185","1,260,046","1,313,708"
Calhoun,"5,528,791","5,594,998","5,609,810","5,766,360"
Cass,"932,658","993,586","1,001,660","1,021,138"
Charlevoix,"1,034,295","1,085,000","1,097,980","1,116,998"
Cheboygan,"552,905","566,698","566,697","588,424"
Chippewa,"1,019,592","1,033,661","1,050,263","1,074,455"
Clare,"740,488","789,999","824,359","868,897"
Clinton,"1,660,168","1,705,952","1,763,539","1,773,185"
Crawford,"364,684","374,857","419,383","441,864"
Delta,"1,139,487","1,147,124","1,140,664","1,174,550"
Dickinson,"1,161,275","1,202,929","1,230,728","1,268,113"
Eaton,"4,178,968","4,309,150","4,213,443","4,296,062"
Emmet,"1,455,912","1,479,016","1,527,464","1,562,456"
Genesee,"13,194,798","13,122,491","13,162,959","13,455,676"
Gladwin,"418,032","426,696","450,326","468,988"
Gogebic,"441,400","454,835","451,286","465,509"
Grand Traverse,"4,400,014","4,492,132","4,604,663","4,668,753"
Gratiot,"1,141,807","1,242,948","1,212,339","1,291,648"
Hillsdale,"1,485,024","1,451,015","1,478,343","1,494,487"
Houghton,"1,058,091","1,072,341","1,085,067","1,111,719"
Huron,"1,401,275","1,319,411","1,330,819","1,357,151"
Ingham,"13,721,207","14,053,425","14,177,008","14,491,884"
Ionia,"1,533,220","1,412,179","1,418,911","1,539,368"
Iosco,"648,137","662,112","680,887","713,289"
Iron,"308,276","309,604","312,681","320,439"
Isabella,"2,218,781","2,213,870","2,228,482","2,263,492"
Jackson,"5,252,177","5,490,037","5,525,960","5,662,101"
Kalamazoo,"11,482,438","11,868,155","12,087,272","12,530,386"
Kalkaska,"482,327","484,981","509,196","537,710"
Kent,"36,141,084","36,960,150","37,692,523","38,895,591"
Keweenaw,"54,810","58,432","60,941","62,345"
Lake,"189,890","198,570","206,695","210,873"
Lapeer,"1,868,234","1,922,854","1,940,893","1,993,372"
Leelanau,"602,364","648,970","627,146","644,548"
Lenawee,"2,471,418","2,530,092","2,544,827","2,674,402"
Livingston,"5,761,800","5,950,163","6,131,153","6,289,053"
Luce,"174,423","169,296","177,967","178,540"
Mackinac,"584,437","616,120","613,132","620,632"
Macomb,"33,597,322","34,515,875","35,408,118","36,366,570"
Manistee,"656,710","685,252","685,561","698,720"
Marquette,"3,061,807","3,188,673","3,088,151","3,091,552"
Mason,"967,612","956,916","983,066","1,021,720"
Mecosta,"1,152,893","1,202,562","1,196,951","1,175,082"
Menominee,"663,893","645,666","685,949","699,327"
Midland,"4,889,900","4,682,356","4,882,666","4,917,510"
Missaukee,"333,150","336,450","371,743","358,710"
Monroe,"5,410,633","5,510,337","5,598,240","5,644,944"
Montcalm,"1,477,933","1,457,961","1,547,111","1,594,841"
Montmorency,"253,698","255,254","264,186","274,225"
Muskegon,"5,915,840","5,897,718","5,922,919","6,004,546"
Newaygo,"1,189,506","1,222,990","1,226,650","1,275,064"
Oakland,"94,319,703","97,234,958","98,555,068","100,906,866"
Oceana,"671,701","685,916","687,675","718,437"
Ogemaw,"514,152","502,351","546,851","567,601"
Ontonagon,"134,941","138,744","141,876","142,264"
Osceola,"642,306","629,201","643,961","673,677"
Oscoda,"197,573","199,445","202,950","209,237"
Otsego,"829,996","873,003","894,499","929,428"
Ottawa,"12,106,940","12,189,756","12,703,019","13,219,620"
Presque Isle,"373,275","393,475","396,078","398,223"
Roscommon,"537,347","550,260","563,167","581,803"
Saginaw,"7,741,964","7,929,192","7,943,763","8,120,484"
St. Clair,"4,884,175","4,965,492","4,952,919","5,122,024"
St. Joseph,"1,884,692","1,986,858","1,929,389","1,903,755"
Sanilac,"1,077,248","1,084,868","1,125,535","1,134,210"
Schoolcraft,"285,016","296,606","310,374","311,523"
Shiawassee,"1,597,659","1,602,095","1,655,238","1,684,436"
Tuscola,"1,323,873","1,326,081","1,293,788","1,302,518"
Van Buren,"2,387,816","2,803,568","2,722,042","2,709,396"
Washtenaw,"20,096,509","20,688,097","21,313,699","21,963,864"
Wayne,"84,084,627","85,464,905","86,258,000","88,005,730"
Wexford,"1,105,937","1,128,765","1,176,073","1,208,119"
,,,,
Minnesota,"313,086,208","319,129,918","325,322,723","333,919,546"
Aitkin,"393,204","398,507","420,128","435,031"
Anoka,"12,997,931","13,204,641","13,507,196","13,920,520"
Becker,"1,167,383","1,220,272","1,259,046","1,274,964"
Beltrami,"1,511,266","1,566,817","1,569,510","1,616,550"
Benton,"1,481,554","1,538,295","1,564,886","1,548,963"
Big Stone,"218,670","215,348","219,523","244,870"
Blue Earth,"3,862,661","3,849,368","4,042,066","4,007,832"
Brown,"1,265,789","1,201,935","1,292,798","1,348,618"
Carlton,"1,079,905","1,118,083","1,139,922","1,131,080"
Carver,"4,756,758","4,727,484","4,930,243","4,982,250"
Cass,"812,335","830,036","855,671","891,066"
Chippewa,"602,555","567,336","566,988","589,368"
Chisago,"1,308,121","1,342,975","1,387,564","1,418,665"
Clay,"1,741,658","1,766,128","1,780,816","1,837,525"
Clearwater,"271,636","284,044","276,525","281,698"
Cook,"299,085","273,280","247,678","252,026"
Cottonwood,"628,822","556,179","648,372","701,471"
Crow Wing,"2,493,304","2,457,596","2,434,394","2,495,344"
Dakota,"24,002,005","24,388,284","24,817,284","25,800,389"
Dodge,"590,532","622,555","613,389","687,774"
Douglas,"1,789,164","1,852,248","1,752,586","1,820,998"
Faribault,"489,931","554,910","513,808","499,879"
Fillmore,"612,980","695,039","618,366","600,821"
Freeborn,"1,058,404","1,165,428","1,108,282","1,137,572"
Goodhue,"2,508,142","2,609,788","2,619,441","2,690,313"
Grant,"326,956","329,385","285,888","332,796"
Hennepin,"114,465,989","116,975,987","119,283,227","122,552,072"
Houston,"490,083","488,518","521,471","523,549"
Hubbard,"604,791","619,850","644,871","670,585"
Isanti,"1,035,051","1,038,315","1,054,112","1,095,281"
Itasca,"1,924,535","2,038,701","1,985,494","2,079,149"
Jackson,"690,686","609,992","665,442","671,346"
Kanabec,"360,606","410,940","409,260","383,613"
Kandiyohi,"2,485,209","2,462,913","2,519,817","2,561,566"
Kittson,"248,430","274,211","255,417","287,951"
Koochiching,"463,739","477,406","468,341","483,803"
Lac qui Parle,"318,287","312,404","275,090","355,101"
Lake,"543,366","573,100","633,955","678,920"
Lake of the Woods,"177,585","167,599","177,596","185,363"
Le Sueur,"848,549","890,598","941,682","909,516"
Lincoln,"327,851","302,976","285,950","353,748"
Lyon,"1,454,316","1,367,354","1,341,581","1,378,792"
McLeod,"1,837,450","1,884,386","1,910,707","1,782,458"
Mahnomen,"185,603","231,021","187,011","182,241"
Marshall,"311,684","360,837","373,461","374,093"
Martin,"1,084,573","1,014,414","1,155,886","1,024,825"
Meeker,"797,922","755,193","785,080","803,213"
Mille Lacs,"743,233","758,812","758,981","766,914"
Morrison,"1,153,225","1,169,865","1,157,047","1,177,187"
Mower,"1,763,936","1,898,568","1,788,469","1,897,575"
Murray,"699,109","674,145","591,239","609,134"
Nicollet,"1,400,610","1,400,726","1,495,668","1,468,349"
Nobles,"1,276,693","1,166,846","1,261,977","1,277,102"
Norman,"231,172","238,618","222,126","271,725"
Olmsted,"9,480,782","9,882,843","10,191,913","10,738,821"
Otter Tail,"2,216,803","2,210,039","2,241,975","2,282,953"
Pennington,"1,148,239","1,084,033","1,124,665","1,182,547"
Pine,"657,985","682,864","699,122","658,912"
Pipestone,"669,070","703,302","740,914","744,267"
Polk,"1,156,599","1,189,382","1,285,426","1,391,103"
Pope,"509,939","522,044","529,818","562,130"
Ramsey,"37,645,716","38,087,301","38,516,113","39,057,292"
Red Lake,"184,733","202,829","220,095","229,702"
Redwood,"879,110","798,680","760,935","825,495"
Renville,"849,770","798,747","791,295","730,537"
Rice,"2,119,288","2,176,105","2,215,381","2,303,295"
Rock,"679,242","699,246","705,481","708,120"
Roseau,"1,073,768","1,074,654","1,160,892","1,225,610"
St. Louis,"9,144,278","9,851,128","10,050,099","10,625,233"
Scott,"4,902,863","5,164,472","5,478,390","5,616,653"
Sherburne,"3,004,115","3,021,598","3,080,014","3,183,353"
Sibley,"536,878","526,227","553,090","451,649"
Stearns,"7,531,881","7,707,380","7,908,438","7,972,940"
Steele,"1,975,285","2,089,477","2,083,134","2,177,534"
Stevens,"613,330","618,864","601,399","644,872"
Swift,"515,700","473,803","478,364","504,392"
Todd,"776,958","747,664","823,368","820,431"
Traverse,"236,931","204,156","176,413","260,710"
Wabasha,"663,501","609,257","657,981","656,788"
Wadena,"484,345","486,690","487,678","487,209"
Waseca,"925,631","796,919","827,272","825,656"
Washington,"8,824,426","9,100,043","9,506,287","9,752,907"
Watonwan,"403,067","407,683","432,482","418,797"
Wilkin,"283,176","319,226","297,267","330,518"
Winona,"2,286,236","2,336,934","2,480,192","2,509,223"
Wright,"3,772,681","3,872,717","3,932,299","4,002,893"
Yellow Medicine,"718,010","702,296","583,676","620,648"
,,,,
Mississippi,"100,242,514","100,656,508","101,515,677","102,837,396"
Adams,"914,893","899,234","941,445","882,622"
Alcorn,"1,131,780","1,115,435","1,118,241","1,155,768"
Amite,"193,006","183,959","196,300","198,523"
Attala,"490,049","479,397","455,513","448,492"
Benton,"279,023","317,070","310,266","317,952"
Bolivar,"941,793","958,759","941,679","961,922"
Calhoun,"264,964","302,253","295,725","288,383"
Carroll,"112,965","114,396","118,991","120,154"
Chickasaw,"441,586","441,621","454,364","456,335"
Choctaw,"598,478","648,139","652,604","702,981"
Claiborne,"748,394","535,073","598,941","583,666"
Clarke,"278,237","263,516","256,667","272,738"
Clay,"563,056","588,051","549,126","556,167"
Coahoma,"637,306","626,325","612,400","606,094"
Copiah,"624,116","618,357","639,835","615,130"
Covington,"527,110","484,308","536,472","541,807"
DeSoto,"4,453,049","4,722,453","4,883,753","5,006,943"
Forrest,"3,487,272","3,504,946","3,564,731","3,614,553"
Franklin,"175,407","174,695","167,801","169,746"
George,"401,617","385,415","390,533","398,739"
Greene,"152,901","147,017","153,304","154,787"
Grenada,"741,492","754,356","754,012","763,469"
Hancock,"1,529,830","1,526,634","1,513,390","1,558,572"
Harrison,"7,776,723","7,761,323","7,827,323","7,904,206"
Hinds,"11,183,088","11,159,661","11,122,469","11,214,681"
Holmes,"265,430","258,386","258,641","260,493"
Humphreys,"161,287","152,633","152,850","157,389"
Issaquena,"17,028","17,515","17,841","18,356"
Itawamba,"491,718","490,629","487,338","486,520"
Jackson,"6,746,245","7,030,782","7,336,887","7,522,803"
Jasper,"525,755","498,483","498,057","562,536"
Jefferson,"121,479","116,910","108,951","119,131"
Jefferson Davis,"184,855","179,663","182,377","181,652"
Jones,"2,705,065","2,550,612","2,719,583","2,559,289"
Kemper,"441,006","464,355","409,116","375,017"
Lafayette,"1,724,087","1,839,830","1,855,118","1,869,337"
Lamar,"1,493,843","1,484,859","1,466,856","1,529,539"
Lauderdale,"2,763,989","2,757,248","2,758,498","2,764,388"
Lawrence,"336,917","308,941","307,130","312,487"
Leake,"467,266","439,605","491,035","512,026"
Lee,"4,194,091","4,219,680","4,259,052","4,298,512"
Leflore,"1,073,069","1,064,325","1,083,914","1,085,376"
Lincoln,"947,187","955,083","973,819","986,481"
Lowndes,"2,837,610","2,824,609","2,787,765","2,763,507"
Madison,"5,621,583","5,832,161","5,798,874","5,897,999"
Marion,"635,093","625,897","683,983","686,845"
Marshall,"549,802","514,098","530,464","566,797"
Monroe,"800,612","793,194","801,048","813,248"
Montgomery,"185,769","188,416","183,675","181,152"
Neshoba,"926,235","927,426","940,185","932,420"
Newton,"451,610","441,374","447,035","449,755"
Noxubee,"203,024","208,313","223,785","222,115"
Oktibbeha,"1,487,070","1,515,506","1,517,680","1,549,445"
Panola,"1,035,080","1,053,862","1,023,231","1,028,548"
Pearl River,"917,525","914,116","931,600","973,835"
Perry,"256,383","253,831","251,858","252,394"
Pike,"1,088,024","1,049,404","1,056,865","1,069,594"
Pontotoc,"817,270","831,728","830,878","845,698"
Prentiss,"523,853","514,186","514,036","522,245"
Quitman,"105,352","101,555","97,405","98,309"
Rankin,"6,183,375","6,112,219","6,012,445","6,194,331"
Scott,"1,000,050","962,643","1,031,807","1,068,770"
Sharkey,"90,774","87,112","86,677","87,344"
Simpson,"590,249","585,121","598,431","604,922"
Smith,"416,777","427,175","445,269","454,413"
Stone,"307,796","317,378","323,235","327,501"
Sunflower,"577,367","582,274","586,619","604,682"
Tallahatchie,"233,435","244,040","226,384","224,596"
Tate,"441,282","445,330","448,717","465,681"
Tippah,"469,374","467,917","472,794","483,157"
Tishomingo,"424,797","428,253","429,222","442,011"
Tunica,"888,937","978,186","892,574","872,019"
Union,"866,453","901,293","937,395","951,834"
Walthall,"248,219","227,627","247,219","243,772"
Warren,"1,948,142","1,985,431","2,012,304","2,044,502"
Washington,"1,481,042","1,464,412","1,441,935","1,459,333"
Wayne,"636,232","630,300","631,428","672,801"
Webster,"146,501","149,369","146,957","153,603"
Wilkinson,"157,558","150,712","149,284","149,871"
Winston,"453,129","461,647","477,111","490,733"
Yalobusha,"259,213","263,313","281,879","280,411"
Yazoo,"655,691","644,416","619,172","656,888"
,,,,
Missouri,"276,700,378","275,500,454","278,191,917","284,924,112"
Adair,"738,965","723,612","728,997","767,444"
Andrew,"285,234","301,034","295,044","296,886"
Atchison,"258,623","326,388","332,268","283,842"
Audrain,"944,932","974,056","907,237","936,372"
Barry,"1,377,581","1,257,080","1,243,222","1,310,883"
Barton,"338,959","364,396","370,620","359,400"
Bates,"354,155","390,385","410,271","401,456"
Benton,"369,400","344,125","339,783","350,835"
Bollinger,"175,009","187,958","188,817","187,918"
Boone,"7,857,989","7,935,639","8,005,117","8,140,223"
Buchanan,"4,284,301","4,203,136","4,281,472","4,291,237"
Butler,"1,401,967","1,365,826","1,366,026","1,375,966"
Caldwell,"195,739","187,552","197,679","228,120"
Callaway,"1,567,186","1,564,183","1,482,104","1,617,194"
Camden,"1,263,748","1,251,989","1,272,992","1,319,233"
Cape Girardeau,"3,584,715","3,542,729","3,548,873","3,644,297"
Carroll,"299,136","351,049","323,532","295,657"
Carter,"115,939","113,140","116,184","119,057"
Cass,"2,315,661","2,419,762","2,491,460","2,538,540"
Cedar,"262,398","259,084","259,376","264,220"
Chariton,"218,426","247,179","256,796","221,358"
Christian,"1,347,154","1,341,398","1,354,564","1,397,263"
Clark,"138,804","132,155","127,473","144,655"
Clay,"9,730,541","9,720,712","9,903,163","10,039,988"
Clinton,"357,190","355,037","376,114","353,171"
Cole,"4,208,498","4,175,362","4,192,196","4,238,180"
Cooper,"426,891","450,412","455,168","461,225"
Crawford,"553,011","547,414","551,255","575,031"
Dade,"187,738","191,114","180,354","174,567"
Dallas,"251,376","256,974","255,866","263,392"
Daviess,"168,706","176,496","189,741","182,591"
DeKalb,"283,045","295,147","325,931","313,421"
Dent,"299,146","292,913","293,845","303,430"
Douglas,"544,384","572,490","569,165","599,286"
Dunklin,"743,443","729,480","691,183","735,316"
Franklin,"3,899,274","3,918,131","3,941,168","4,003,073"
Gasconade,"396,016","388,999","398,145","401,043"
Gentry,"282,611","260,299","285,614","231,416"
Greene,"14,261,350","14,470,597","14,742,732","15,023,186"
Grundy,"487,494","471,122","448,490","454,537"
Harrison,"221,003","236,989","276,319","275,583"
