,2015,2016,2017,2018
Larimer,"14,784,676","15,358,832","16,121,584","16,793,330"
Las Animas,"718,839","736,109","723,964","711,460"
Lincoln,"363,542","374,098","396,871","391,910"
Logan,"1,217,271","1,235,667","1,090,097","1,061,679"
Mesa,"5,757,436","5,695,220","5,970,021","6,253,144"
Mineral,"70,751","68,993","73,103","77,089"
Moffat,"1,042,946","1,045,120","1,026,134","987,890"
Montezuma,"1,808,550","1,888,742","2,024,058","1,799,102"
Montrose,"1,301,522","1,314,618","1,359,203","1,413,627"
Morgan,"1,527,903","1,494,827","1,559,780","1,592,344"
Otero,"597,938","580,665","579,125","594,219"
Ouray,"214,088","193,107","196,871","200,510"
Park,"349,626","364,585","383,734","400,803"
Phillips,"198,867","217,901","202,394","213,315"
Pitkin,"1,810,200","1,864,163","1,871,595","1,900,883"
Prowers,"562,738","593,064","541,959","585,362"
Pueblo,"5,633,254","5,793,524","5,936,817","6,084,945"
Rio Blanco,"816,272","762,354","754,490","736,488"
Rio Grande,"435,710","439,984","424,683","435,646"
Routt,"1,606,787","1,596,244","1,648,606","1,676,236"
Saguache,"183,987","178,250","166,002","170,660"
San Juan,"49,355","41,257","44,580","44,681"
San Miguel,"612,657","607,530","607,756","630,972"
Sedgwick,"131,811","141,744","124,544","122,461"
Summit,"1,954,242","1,997,326","2,100,690","2,144,107"
Teller,"832,946","821,374","880,866","858,144"
Washington,"219,055","228,338","199,232","240,624"
Weld,"17,290,520","17,607,226","18,767,550","20,531,235"
Yuma,"817,648","861,732","781,972","673,264"
,,,,
Connecticut,"242,910,718","242,793,869","243,682,541","244,925,749"
Fairfield,"78,667,116","77,878,283","77,609,152","77,951,236"
Hartford,"75,812,380","75,841,426","76,345,801","75,991,079"
Litchfield,"7,567,652","7,532,359","7,470,812","7,688,830"
Middlesex,"8,782,362","8,647,334","8,761,274","8,706,342"
New Haven,"46,417,757","47,057,608","47,266,161","48,060,270"
New London,"16,467,459","16,657,031","16,914,681","17,084,801"
Tolland,"4,679,576","4,694,375","4,770,557","4,835,245"
Windham,"4,553,895","4,537,403","4,606,323","4,661,614"
,,,,
Delaware,"65,876,064","63,108,730","62,740,077","62,764,748"
Kent,"6,585,361","6,654,062","6,621,713","6,700,040"
New Castle,"44,546,988","42,600,438","42,708,813","42,517,640"
Sussex,"14,766,561","13,877,300","13,422,305","13,568,583"
,,,,
District of Columbia,"117,238,433","119,567,337","121,011,225","123,981,627"
,,,,
Florida,"839,124,321","866,730,997","896,117,037","924,873,329"
Alachua,"11,487,691","11,755,588","12,031,399","12,447,381"
Baker,"547,809","562,229","575,846","595,832"
Bay,"7,264,429","7,348,864","7,463,278","7,606,775"
Bradford,"599,779","608,141","637,196","659,865"
Brevard,"20,787,350","21,514,903","22,465,459","23,437,467"
Broward,"88,623,704","91,380,503","94,231,492","96,874,849"
Calhoun,"240,507","238,916","239,671","250,104"
Charlotte,"4,252,418","4,409,773","4,518,513","4,670,656"
Citrus,"3,374,867","3,395,172","3,414,707","3,511,018"
Clay,"4,049,461","4,230,998","4,334,718","4,508,532"
Collier,"14,272,513","14,926,141","15,140,542","15,760,299"
Columbia,"2,084,675","2,043,138","2,078,805","2,117,963"
DeSoto,"828,679","832,295","897,169","828,489"
Dixie,"259,180","264,745","270,743","274,765"
Duval,"53,307,586","54,932,423","57,588,045","59,046,312"
Escambia,"13,292,392","13,455,692","13,747,958","14,133,569"
Flagler,"1,925,200","2,036,334","2,106,231","2,159,015"
Franklin,"326,714","326,130","331,884","339,243"
Gadsden,"1,111,638","1,152,756","1,186,133","1,210,807"
Gilchrist,"345,889","362,490","370,035","384,761"
Glades,"255,344","253,267","266,604","270,066"
Gulf,"362,027","364,695","376,332","377,644"
Hamilton,"386,469","370,897","378,169","392,338"
Hardee,"1,070,287","1,213,281","1,178,699","1,113,218"
Hendry,"1,167,900","1,253,739","1,246,870","1,216,050"
Hernando,"3,390,553","3,495,017","3,647,475","3,817,718"
Highlands,"2,429,784","2,526,899","2,547,217","2,538,660"
Hillsborough,"73,150,526","75,304,750","77,317,574","79,951,440"
Holmes,"325,138","317,913","334,989","323,671"
Indian River,"4,864,424","5,047,825","5,130,162","5,346,831"
Jackson,"1,135,401","1,154,854","1,161,800","1,199,023"
Jefferson,"301,383","305,566","307,620","302,750"
Lafayette,"238,600","199,505","205,689","209,052"
Lake,"7,452,335","7,706,726","7,927,962","8,284,194"
Lee,"24,022,905","25,401,906","26,207,287","27,046,186"
Leon,"12,986,116","13,337,263","13,747,492","14,165,147"
Levy,"955,314","1,078,963","1,217,429","1,102,272"
Liberty,"173,347","174,480","176,209","182,111"
Madison,"498,633","475,043","476,908","489,921"
Manatee,"11,560,828","11,902,949","12,152,004","12,599,063"
